D_M,D_F,CI_M,CI_F,CID_M,CID_F,AD1,AD2,AD3,AD4
0.292544,0.246507,0.10995,0.09396,0,0,0.0002,0.0000325,0.0000225,0.0000075
0.319604,0.272115,0.11268,0.09816,0,0,0.0002,0.0000325,0.0000225,0.0000075
0.348606,0.299903,0.11592,0.10331,0,0,0.0002,0.0000325,0.0000225,0.0000075
0.379572,0.329942,0.11906,0.10818,0,0,0.0002,0.0000325,0.0000225,0.0000075
0.412495,0.362281,0.12282,0.11412,0,0,0.0002,0.0000325,0.0000225,0.0000075
0.447334,0.396933,0.12767,0.12251,0,0,0.0002,0.0000325,0.0000225,0.0000075
0.48401,0.433869,0,0,0,0,0.0002,0.0000325,0.0000225,0.0000075
0.522397,0.473008,0,0,0,0,0.0002,0.0000325,0.0000225,0.0000075
0.562317,0.514211,0,0,0,0,0.0002,0.0000325,0.0000225,0.0000075
0.603539,0.557269,0,0,0,0,0.0002,0.0000325,0.0000225,0.0000075
0.64577,0.601896,0,0,0,0,0.0002,0.0000325,0.0000225,0.0000075
1,1,0,0,0,0,0.0002,0.0000325,0.0000225,0.0000075
